オーダーID,オーダー日,顧客ID,商品ID,数量,売上,出荷日,キャンセル日,ステータス,氏名,ひらがな,生年月日,性別,都道府県,商品名,カテゴリ,サブカテゴリ,色,サイズ,定価
201901250003-1,2019-01-25,C00000544,TS-CWGM,1,7600,2019-01-28,,配達済み,豊田 美紗,とよだ みさ,1990-07-21,女,大阪府,Women Gray Tシャツ C M,トップス,Women,Gray,M,7600
201901250005-2,2019-01-25,C00001239,TS-AWWS,1,8900,2019-01-31,,配達済み,半澤 久美子,はんざわ くみこ,1981-06-03,女,千葉県,Women White Tシャツ A S,トップス,Women,White,S,8900
201901250017-2,2019-01-25,C00001861,PA-CWBM,1,14300,2019-01-31,2019-01-25,キャンセル,河村 奈々子,かわむら ななこ,1995-08-28,女,神奈川県,Women Black パンツ C M,ボトムス,Women,Black,M,14300
201901250000-2,2019-01-25,C00000250,SK-AWGS,1,18100,2019-01-30,,配達済み,田中 美和子,たなか みわこ,2000-06-07,女,東京都,Women Gray スカート A S,ボトムス,Women,Gray,S,18100
201901250011-1,2019-01-25,C00001814,PA-AMGL,1,16500,2019-01-31,,配達済み,星 洋輔,ほし ようすけ,1975-10-26,男,大阪府,Men Gray パンツ A L,ボトムス,Men,Gray,L,16500
201901250005-1,2019-01-25,C00001239,HA-AKNN,1,4300,2019-01-31,,配達済み,半澤 久美子,はんざわ くみこ,1981-06-03,女,千葉県,帽子 A,小物,Kids,,,4300
201901250008-1,2019-01-25,C00001755,SK-AWBS,1,18100,2019-01-30,,配達済み,宮田 牧子,みやた まきこ,1988-07-17,女,兵庫県,Women Black スカート A S,ボトムス,Women,Black,S,18100
201901250000-1,2019-01-25,C00000250,PA-BWGL,1,19800,2019-01-30,,配達済み,田中 美和子,たなか みわこ,2000-06-07,女,東京都,Women Gray パンツ B L,ボトムス,Women,Gray,L,19800
201901250004-1,2019-01-25,C00001062,TS-AWBS,1,8900,2019-01-28,,配達済み,宮原 愛,みやはら あい,2004-11-09,女,高知県,Women Black Tシャツ A S,トップス,Women,Black,S,8900
201901260012-2,2019-01-26,C00001155,TS-BMBM,1,8700,2019-02-01,,配達済み,谷尾 智子,たにお ともこ,1981-06-13,女,静岡県,Men Black Tシャツ B M,トップス,Men,Black,M,8700
201901260002-1,2019-01-26,C00000440,JA-CWWS,1,22100,2019-01-30,,配達済み,新田 祐子,にった ゆうこ,1997-09-25,女,東京都,Women White ジャケット C S,アウター,Women,White,S,22100
201901260012-1,2019-01-26,C00001155,BP-BUNN,1,9800,2019-01-30,,配達済み,谷尾 智子,たにお ともこ,1981-06-13,女,静岡県,バックパック B,バッグ,Unisex,,,9800
201901260009-1,2019-01-26,C00000746,TB-BUNN,1,9800,2019-02-01,,配達済み,井田 美知子,いだ みちこ,2004-08-15,女,新潟県,トートバッグ B,バッグ,Unisex,,,9800
201901260019-1,2019-01-26,C00002178,PA-BWWM,1,19800,2019-01-29,,配達済み,熊代 久美子,くましろ くみこ,1976-07-16,女,京都府,Women White パンツ B M,ボトムス,Women,White,M,19800
201901260006-1,2019-01-26,C00000504,PA-CWBS,1,14300,2019-01-31,,配達済み,坂井 麻理子,さかい まりこ,2002-06-12,女,東京都,Women Black パンツ C S,ボトムス,Women,Black,S,14300
201901260000-2,2019-01-26,C00000077,CT-AWBM,2,82400,2019-01-31,,配達済み,安永 実穂,やすなが みほ,2001-05-03,女,岐阜県,Women Black コート A M,アウター,Women,Black,M,41200
201901260000-1,2019-01-26,C00000077,HA-AUNN,1,5280,2019-02-01,,配達済み,安永 実穂,やすなが みほ,2001-05-03,女,岐阜県,帽子 A,小物,Unisex,,,5280
201901260016-2,2019-01-26,C00001722,HA-AUNN,2,10560,2019-01-31,,配達済み,下村 麻子,しもむら あさこ,1980-02-24,女,香川県,帽子 A,小物,Unisex,,,5280
201901260010-1,2019-01-26,C00001068,SW-CMBS,1,18400,2019-02-01,,配達済み,吉田 大樹,よしだ たいき,1980-06-28,男,愛知県,Men Black セーター C S,トップス,Men,Black,S,18400
201901260001-1,2019-01-26,C00000255,NI-BWGS,1,15100,2019-02-01,,配達済み,田中 園子,たなか そのこ,1978-06-21,女,大阪府,Women Gray ニット B S,トップス,Women,Gray,S,15100
201901260016-1,2019-01-26,C00001722,NI-AWBL,4,44000,2019-02-01,,配達済み,下村 麻子,しもむら あさこ,1980-02-24,女,香川県,Women Black ニット A L,トップス,Women,Black,L,11000
201901260014-1,2019-01-26,C00001338,JA-AWWS,2,63800,2019-01-31,,配達済み,大西 千紘,おおにし ちひろ,1991-01-31,女,東京都,Women White ジャケット A S,アウター,Women,White,S,31900
201901270000-1,2019-01-27,C00000111,HC-AUNN,2,2400,2019-01-31,,配達済み,稲葉 良太,いなば りょうた,2000-08-04,男,北海道,ハンカチ A,小物,Unisex,,,1200
201901280019-1,2019-01-28,C00000737,SK-AWWM,3,54300,2019-02-03,,配達済み,櫻井 知弥,さくらい ともみ,1981-08-11,女,東京都,Women White スカート A M,ボトムス,Women,White,M,18100
201901280007-1,2019-01-28,C00000273,PA-CMWL,2,28600,2019-02-02,,配達済み,仲田 貴美子,なかた きみこ,1975-04-01,女,東京都,Men White パンツ C L,ボトムス,Men,White,L,14300
201901280028-1,2019-01-28,C00002042,PA-AMBS,1,16500,2019-02-03,,配達済み,高橋 唯史,たかはし ただし,2004-08-08,男,宮城県,Men Black パンツ A S,ボトムス,Men,Black,S,16500
201901280029-1,2019-01-28,C00002172,TS-CMGM,1,7600,2019-01-31,,配達済み,川添 浩平,かわぞえ こうへい,1985-10-07,男,東京都,Men Gray Tシャツ C M,トップス,Men,Gray,M,7600
201901280026-1,2019-01-28,C00001732,SW-CWGS,1,18400,2019-02-04,,配達済み,太田 知子,おおた ともこ,1997-10-15,女,鹿児島県,Women Gray セーター C S,トップス,Women,Gray,S,18400
201901280027-1,2019-01-28,C00001867,NI-CMGM,1,12300,2019-02-03,,配達済み,山口 雄太,やまぐち ゆうた,1981-05-09,男,兵庫県,Men Gray ニット C M,トップス,Men,Gray,M,12300
201901280024-2,2019-01-28,C00001065,PA-CWGM,1,14300,2019-02-02,,配達済み,小島 友美,こじま ゆみ,1973-05-28,女,福岡県,Women Gray パンツ C M,ボトムス,Women,Gray,M,14300
201901280010-1,2019-01-28,C00000412,BP-BUNN,1,9800,2019-01-31,,配達済み,齊藤 洋恵,さいとう ひろえ,1997-12-16,女,長野県,バックパック B,バッグ,Unisex,,,9800
201901280024-1,2019-01-28,C00001065,PA-CMGL,2,28600,2019-02-03,,配達済み,小島 友美,こじま ゆみ,1973-05-28,女,福岡県,Men Gray パンツ C L,ボトムス,Men,Gray,L,14300
201901280009-1,2019-01-28,C00000353,TB-AUNN,2,15600,2019-01-31,,配達済み,和田 真紀子,わだ まきこ,1980-11-29,女,大阪府,トートバッグ A,バッグ,Unisex,,,7800
201901280025-1,2019-01-28,C00001385,CT-AKWL,1,19800,2019-02-02,,配達済み,吉澤 あかね,よしざわ あかね,1988-05-27,女,東京都,Kids White コート A L,アウター,Kids,White,L,19800
201901280008-1,2019-01-28,C00000287,NI-CMGS,1,12300,2019-01-31,,配達済み,青柳 寛朗,あおやぎ ひろあき,1994-06-14,男,東京都,Men Gray ニット C S,トップス,Men,Gray,S,12300
201901280005-1,2019-01-28,C00000092,SK-AWBS,1,18100,2019-02-03,,配達済み,増渕 洋子,ますぶち ようこ,2007-10-10,女,神奈川県,Women Black スカート A S,ボトムス,Women,Black,S,18100
201901280014-1,2019-01-28,C00000455,PA-CWGS,1,14300,2019-01-31,,配達済み,内田 えみ,うちだ えみ,1983-04-22,女,東京都,Women Gray パンツ C S,ボトムス,Women,Gray,S,14300
201901280020-1,2019-01-28,C00000808,BP-AUNN,1,10200,2019-02-01,,配達済み,大井 遼太,おおい りょうた,1976-06-19,男,大阪府,バックパック A,バッグ,Unisex,,,10200
201901280023-1,2019-01-28,C00000930,TS-CMWS,1,7600,2019-01-31,,配達済み,中島 剛,なかじま つよし,1977-11-30,男,北海道,Men White Tシャツ C S,トップス,Men,White,S,7600
201901300000-1,2019-01-30,C00000370,HA-AUNN,1,5280,2019-02-05,,配達済み,平沢 芙美,ひらさわ ふみ,2006-03-13,女,大阪府,帽子 A,小物,Unisex,,,5280
201901310001-1,2019-01-31,C00000687,TO-AUNN,1,2280,2019-02-04,,配達済み,中島 朝子,なかじま ともこ,1986-08-22,女,東京都,タオル A,小物,Unisex,,,2280
201901310003-1,2019-01-31,C00001844,BP-CUNN,1,12900,2019-02-06,,配達済み,野口 文絵,のぐち ふみえ,1973-02-12,女,東京都,バックパック C,バッグ,Unisex,,,12900
201902010007-1,2019-02-01,C00000292,JA-AWBL,3,95700,2019-02-06,,配達済み,清水 愛,しみず あい,1996-01-23,女,東京都,Women Black ジャケット A L,アウター,Women,Black,L,31900
201902010001-1,2019-02-01,C00000101,BP-BUNN,1,9800,2019-02-07,,配達済み,河村 敬太,かわむら けいた,1999-04-14,男,兵庫県,バックパック B,バッグ,Unisex,,,9800
201902010024-1,2019-02-01,C00001893,PA-AMGM,2,33000,2019-02-04,,配達済み,中村 英治,なかむら えいじ,1994-09-18,男,大阪府,Men Gray パンツ A M,ボトムス,Men,Gray,M,16500
201902010020-1,2019-02-01,C00001570,PA-CMWL,1,14300,2019-02-07,,配達済み,齋藤 慎之介,さいとう しんのすけ,1999-09-25,男,新潟県,Men White パンツ C L,ボトムス,Men,White,L,14300
201902010015-1,2019-02-01,C00000921,PA-CWBM,1,14300,2019-02-06,,配達済み,菅野 加代,かんの かよ,2004-03-12,女,東京都,Women Black パンツ C M,ボトムス,Women,Black,M,14300
201902010023-1,2019-02-01,C00001646,BP-BUNN,1,9800,2019-02-07,,配達済み,神谷 友紀,かみや ともき,1978-09-21,女,大阪府,バックパック B,バッグ,Unisex,,,9800
201902010006-1,2019-02-01,C00000122,TB-AUNN,1,7800,2019-02-04,,配達済み,中村 雪絵,なかむら ゆきえ,1999-12-22,女,宮城県,トートバッグ A,バッグ,Unisex,,,7800
201902010023-2,2019-02-01,C00001646,SK-AWBM,1,18100,2019-02-04,,配達済み,神谷 友紀,かみや ともき,1978-09-21,女,大阪府,Women Black スカート A M,ボトムス,Women,Black,M,18100
201902010021-1,2019-02-01,C00001635,TO-AUNN,1,2280,2019-02-06,,配達済み,横山 絵美,よこやま えみ,1995-11-20,女,広島県,タオル A,小物,Unisex,,,2280
201902010009-1,2019-02-01,C00000317,PA-CMGM,2,28600,2019-02-04,,配達済み,鈴木 孝太郎,すずき こうたろう,1978-05-12,男,福岡県,Men Gray パンツ C M,ボトムス,Men,Gray,M,14300
201902010000-1,2019-02-01,C00000066,TS-BMBL,1,8700,2019-02-06,,配達済み,山端 素子,やまはた もとこ,1988-11-11,女,岐阜県,Men Black Tシャツ B L,トップス,Men,Black,L,8700
201902010019-1,2019-02-01,C00001526,PA-BMWS,2,40000,2019-02-07,,配達済み,吉野 明美,よしの あけみ,1977-09-25,女,愛知県,Men White パンツ B S,ボトムス,Men,White,S,20000
201902010027-1,2019-02-01,C00002126,HC-BUNN,1,980,2019-02-06,,配達済み,岩井 いずみ,いわい いずみ,1994-02-12,女,東京都,ハンカチ B,小物,Unisex,,,980
201902010016-1,2019-02-01,C00000977,TO-BUNN,1,2180,2019-02-06,,配達済み,永井 真希,ながい まき,2001-06-09,女,埼玉県,タオル B,小物,Unisex,,,2180
201902010012-1,2019-02-01,C00000848,TO-BUNN,1,2180,2019-02-07,,配達済み,品川 希,しながわ のぞみ,2002-12-29,女,大阪府,タオル B,小物,Unisex,,,2180
201902020012-1,2019-02-02,C00001719,HC-BUNN,1,980,2019-02-03,,配達済み,鄭 渉,てい わたる,1994-11-03,男,愛知県,ハンカチ B,小物,Unisex,,,980
201902020002-1,2019-02-02,C00000870,TS-AMBM,2,15800,2019-02-03,,配達済み,芳賀 崇,はが たかし,2005-10-23,男,東京都,Men Black Tシャツ A M,トップス,Men,Black,M,7900
201902020001-1,2019-02-02,C00000657,TS-BWGS,1,7600,2019-02-03,,配達済み,中川 友子,なかがわ ともこ,1983-11-13,女,東京都,Women Gray Tシャツ B S,トップス,Women,Gray,S,7600
201902020014-1,2019-02-02,C00002018,PA-BMBL,1,20000,2019-02-02,,配達済み,飯田 広行,いいだ ひろゆき,2001-01-23,男,東京都,Men Black パンツ B L,ボトムス,Men,Black,L,20000
201902020004-1,2019-02-02,C00001033,BP-AUNN,1,10200,2019-02-05,,配達済み,玉木 絢香,たまき あやか,1999-09-03,女,埼玉県,バックパック A,バッグ,Unisex,,,10200
201902020015-1,2019-02-02,C00002149,SK-AWWM,1,18100,2019-02-02,,配達済み,盛田 有里子,もりた ゆりこ,1979-03-18,女,東京都,Women White スカート A M,ボトムス,Women,White,M,18100
201902020000-1,2019-02-02,C00000117,PA-BWGS,1,19800,2019-02-04,,配達済み,友松 芳恵,ともまつ よしえ,2003-03-08,女,埼玉県,Women Gray パンツ B S,ボトムス,Women,Gray,S,19800
201902020015-2,2019-02-02,C00002149,PA-BWGS,1,19800,2019-02-03,,配達済み,盛田 有里子,もりた ゆりこ,1979-03-18,女,東京都,Women Gray パンツ B S,ボトムス,Women,Gray,S,19800
201902020015-3,2019-02-02,C00002149,NI-CWWL,1,12400,2019-02-04,,配達済み,盛田 有里子,もりた ゆりこ,1979-03-18,女,東京都,Women White ニット C L,トップス,Women,White,L,12400
201902020008-1,2019-02-02,C00001691,NI-AWGM,2,22000,2019-02-03,,配達済み,吉森 良子,よしもり よしこ,1984-12-11,女,東京都,Women Gray ニット A M,トップス,Women,Gray,M,11000
201902030002-1,2019-02-03,C00000131,SB-BUNN,1,6800,2019-02-11,,配達済み,松本 圭,まつもと けい,1998-05-03,女,神奈川県,ショルダーバッグ B,バッグ,Unisex,,,6800
201902030001-1,2019-02-03,C00000119,TS-AWWL,1,8900,2019-02-08,,配達済み,坂口 典子,さかぐち のりこ,1994-01-09,女,東京都,Women White Tシャツ A L,トップス,Women,White,L,8900
201902030004-1,2019-02-03,C00001157,HC-BUNN,1,980,2019-02-10,,配達済み,伊藤 智樹,いとう ともき,1985-06-01,男,北海道,ハンカチ B,小物,Unisex,,,980
201902030008-1,2019-02-03,C00002066,PA-BWWL,1,19800,2019-02-05,,配達済み,野見山 奈緒,のみやま なお,2001-04-22,女,北海道,Women White パンツ B L,ボトムス,Women,White,L,19800
201902030005-1,2019-02-03,C00001833,CT-BMBS,1,38900,2019-02-09,,配達済み,松田 孝行,まつだ たかゆき,2004-02-14,男,東京都,Men Black コート B S,アウター,Men,Black,S,38900
201902040002-1,2019-02-04,C00000208,SB-CUNN,1,5890,2019-02-08,,配達済み,稲田 和昌,いなだ かずまさ,1984-07-08,男,宮城県,ショルダーバッグ C,バッグ,Unisex,,,5890
201902040007-1,2019-02-04,C00002093,TB-BUNN,4,39200,2019-02-11,,配達済み,冨永 由香,とみなが ゆか,1981-09-26,女,東京都,トートバッグ B,バッグ,Unisex,,,9800
201902040003-1,2019-02-04,C00000319,SB-CUNN,1,5890,2019-02-11,,配達済み,中平 恵,なかひら めぐみ,1990-04-07,女,東京都,ショルダーバッグ C,バッグ,Unisex,,,5890
201902040004-1,2019-02-04,C00000509,SW-AMWL,2,32000,2019-02-08,,配達済み,高野 けん,たかの けん,2002-05-18,男,東京都,Men White セーター A L,トップス,Men,White,L,16000
201902050001-1,2019-02-05,C00000157,BP-AUNN,1,10200,2019-02-07,,配達済み,大野 崇史,おおの たかし,1977-05-05,男,東京都,バックパック A,バッグ,Unisex,,,10200
201902050005-1,2019-02-05,C00001354,JA-BMWS,1,19400,2019-02-07,,配達済み,井澤 けいこ,いざわ けいこ,1986-05-11,女,北海道,Men White ジャケット B S,アウター,Men,White,S,19400
201902050002-1,2019-02-05,C00000324,CT-BWBS,1,35200,2019-02-05,,配達済み,向井 光一,むかい こういち,1994-12-08,男,大阪府,Women Black コート B S,アウター,Women,Black,S,35200
201902060007-1,2019-02-06,C00001516,SB-BUNN,4,27200,2019-02-09,,配達済み,川上 真弓,かわかみ まゆみ,1973-04-13,女,滋賀県,ショルダーバッグ B,バッグ,Unisex,,,6800
201902060002-1,2019-02-06,C00000038,PA-AMBS,1,16500,2019-02-12,,配達済み,池田 亘,いけだ わたる,1980-07-16,男,大分県,Men Black パンツ A S,ボトムス,Men,Black,S,16500
201902060006-1,2019-02-06,C00000689,HC-BUNN,1,980,2019-02-09,,配達済み,藤澤 俊行,ふじさわ としゆき,2005-10-11,男,神奈川県,ハンカチ B,小物,Unisex,,,980
201902060004-1,2019-02-06,C00000432,PA-CWBM,1,14300,2019-02-10,,配達済み,笠置 知恵子,かさぎ ちえこ,1994-05-19,女,東京都,Women Black パンツ C M,ボトムス,Women,Black,M,14300
201902070001-2,2019-02-07,C00000307,HC-BUNN,1,980,2019-02-11,,配達済み,中本 絢香,なかもと あやか,1991-03-26,女,北海道,ハンカチ B,小物,Unisex,,,980
201902070013-1,2019-02-07,C00001898,SW-CMWM,1,18400,2019-02-11,,配達済み,濱本 亮,はまもと りょう,1973-05-23,男,東京都,Men White セーター C M,トップス,Men,White,M,18400
201902070007-1,2019-02-07,C00001643,TO-BUNN,1,2180,2019-02-11,,配達済み,滝口 佳子,たきぐち よしこ,1994-10-05,女,東京都,タオル B,小物,Unisex,,,2180
201902070001-1,2019-02-07,C00000307,PA-CWGM,1,14300,2019-02-12,,配達済み,中本 絢香,なかもと あやか,1991-03-26,女,北海道,Women Gray パンツ C M,ボトムス,Women,Gray,M,14300
201902070010-2,2019-02-07,C00001667,VE-BWBS,2,37800,2019-02-12,,配達済み,中川 敦子,なかがわ あつこ,1981-09-24,女,東京都,Women Black ベスト B S,アウター,Women,Black,S,18900
201902070004-2,2019-02-07,C00000758,BP-AUNN,1,10200,2019-02-14,,配達済み,藤田 奈都子,ふじた なつこ,1982-09-23,女,兵庫県,バックパック A,バッグ,Unisex,,,10200
201902070015-1,2019-02-07,C00001951,HC-BUNN,4,3920,2019-02-09,,配達済み,船本 佳奈,ふなもと かな,1999-08-17,女,北海道,ハンカチ B,小物,Unisex,,,980
201902070010-1,2019-02-07,C00001667,SW-BWGS,1,15900,2019-02-13,,配達済み,中川 敦子,なかがわ あつこ,1981-09-24,女,東京都,Women Gray セーター B S,トップス,Women,Gray,S,15900
201902070011-1,2019-02-07,C00001799,TO-AUNN,1,2280,2019-02-10,,配達済み,若狭 祐美,わかさ ゆみ,1973-07-06,女,愛媛県,タオル A,小物,Unisex,,,2280
201902070004-1,2019-02-07,C00000758,HC-AUNN,1,1200,2019-02-12,,配達済み,藤田 奈都子,ふじた なつこ,1982-09-23,女,兵庫県,ハンカチ A,小物,Unisex,,,1200
201902070006-1,2019-02-07,C00001293,TO-AUNN,1,2280,2019-02-12,,配達済み,多賀 奈都子,たが なつこ,1976-04-11,女,埼玉県,タオル A,小物,Unisex,,,2280
201902080008-1,2019-02-08,C00001795,PA-BWGM,1,19800,2019-02-12,,配達済み,岡田 祥子,おかだ しょうこ,1974-09-25,女,茨城県,Women Gray パンツ B M,ボトムス,Women,Gray,M,19800
201902080001-1,2019-02-08,C00001189,NI-CWWL,1,12400,2019-02-12,,配達済み,栗原 里沙,くりはら りさ,1977-08-26,女,東京都,Women White ニット C L,トップス,Women,White,L,12400
201902080003-1,2019-02-08,C00001310,HA-AUNN,1,5280,2019-02-09,,配達済み,原口 奈緒子,はらぐち なおこ,1975-11-22,女,鹿児島県,帽子 A,小物,Unisex,,,5280
201902080005-1,2019-02-08,C00001354,PA-CWBM,1,14300,2019-02-12,,配達済み,井澤 けいこ,いざわ けいこ,1986-05-11,女,北海道,Women Black パンツ C M,ボトムス,Women,Black,M,14300
201902080000-1,2019-02-08,C00000545,BP-CUNN,1,12900,2019-02-13,,配達済み,吉浜 晃平,よしはま こうへい,1990-02-25,男,岐阜県,バックパック C,バッグ,Unisex,,,12900
201902080011-1,2019-02-08,C00001843,TS-CWBS,1,7600,2019-02-10,,配達済み,中西 英恵,なかにし はなえ,1981-02-27,女,愛知県,Women Black Tシャツ C S,トップス,Women,Black,S,7600
